Company Name,ISIN Code,Qty
AARTIIND24JANFUT,55319,1000
ABB24JANFUT,55320,125
ABBOTINDIA24JANFUT,55321,40
ABCAPITAL24JANFUT,55322,5400
ABFRL24JANFUT,55323,2600
ACC24JANFUT,55324,300
ADANIENT24JANFUT,55325,300
ADANIPORTS24JANFUT,55326,800
ALKEM24JANFUT,55327,200
AMBUJACEM24JANFUT,55328,1800
APOLLOHOSP24JANFUT,55329,125
APOLLOTYRE24JANFUT,55330,1700
ASHOKLEY24JANFUT,55331,5000
ASIANPAINT24JANFUT,55332,200
ASTRAL24JANFUT,55333,367
ATUL24JANFUT,55334,75
AUBANK24JANFUT,55335,1000
AUROPHARMA24JANFUT,55336,1100
AXISBANK24JANFUT,55337,625
BAJAJ-AUTO24JANFUT,55338,125
BAJAJFINSV24JANFUT,55339,500
BAJFINANCE24JANFUT,55340,125
BALKRISIND24JANFUT,55341,300
BALRAMCHIN24JANFUT,55342,1600
BANDHANBNK24JANFUT,55343,2500
BANKBARODA24JANFUT,55344,2925
BATAINDIA24JANFUT,55345,375
BEL24JANFUT,55346,5700
BERGEPAINT24JANFUT,55347,1320
BHARATFORG24JANFUT,55348,500
BHARTIARTL24JANFUT,55349,950
BHEL24JANFUT,55350,5250
BIOCON24JANFUT,55351,2500
BOSCHLTD24JANFUT,55352,50
BPCL24JANFUT,55353,1800
BRITANNIA24JANFUT,55354,200
BSOFT24JANFUT,55355,1000
CANBK24JANFUT,55356,2700
CANFINHOME24JANFUT,55357,975
CHAMBLFERT24JANFUT,55358,1900
CHOLAFIN24JANFUT,55359,625
CIPLA24JANFUT,55360,650
COALINDIA24JANFUT,55361,2100
COFORGE24JANFUT,55362,150
COLPAL24JANFUT,55363,350
CONCOR24JANFUT,55364,1000
COROMANDEL24JANFUT,55365,700
CROMPTON24JANFUT,55366,1800
CUB24JANFUT,55367,5000
CUMMINSIND24JANFUT,55368,300
DABUR24JANFUT,55369,1250
DALBHARAT24JANFUT,55370,250
DEEPAKNTR24JANFUT,55371,300
DELTACORP24JANFUT,55372,3000
DIVISLAB24JANFUT,55373,200
DIXON24JANFUT,55374,100
DLF24JANFUT,55375,1650
DRREDDY24JANFUT,55376,125
EICHERMOT24JANFUT,55377,175
ESCORTS24JANFUT,55378,275
EXIDEIND24JANFUT,55379,3600
FEDERALBNK24JANFUT,55380,5000
GAIL24JANFUT,55381,4575
GLENMARK24JANFUT,55382,725
GMRINFRA24JANFUT,55383,11250
GNFC24JANFUT,55384,1300
GODREJCP24JANFUT,55385,500
GODREJPROP24JANFUT,55386,475
GRANULES24JANFUT,55387,2000
GRASIM24JANFUT,55388,475
GUJGASLTD24JANFUT,55389,1250
HAL24JANFUT,55390,300
HAVELLS24JANFUT,55391,500
HCLTECH24JANFUT,55392,700
HDFCAMC24JANFUT,55393,300
HDFCBANK24JANFUT,55394,550
HDFCLIFE24JANFUT,55395,1100
HEROMOTOCO24JANFUT,55396,300
HINDALCO24JANFUT,55397,1400
HINDCOPPER24JANFUT,55398,5300
HINDPETRO24JANFUT,55399,2700
HINDUNILVR24JANFUT,55400,300
ICICIBANK24JANFUT,55401,700
ICICIGI24JANFUT,55402,500
ICICIPRULI24JANFUT,55404,1500
IDEA24JANFUT,55406,80000
IDFC24JANFUT,55407,5000
IDFCFIRSTB24JANFUT,55408,7500
IEX24JANFUT,55409,3750
IGL24JANFUT,55412,1375
INDHOTEL24JANFUT,55413,2000
INDIACEM24JANFUT,55414,2900
INDIAMART24JANFUT,55415,300
INDIGO24JANFUT,55416,300
INDUSINDBK24JANFUT,55417,500
INDUSTOWER24JANFUT,55418,3400
INFY24JANFUT,55419,400
IOC24JANFUT,55420,9750
IPCALAB24JANFUT,55421,650
IRCTC24JANFUT,55422,875
ITC24JANFUT,55423,1600
JINDALSTEL24JANFUT,55424,1250
JKCEMENT24JANFUT,55425,250
JSWSTEEL24JANFUT,55426,675
JUBLFOOD24JANFUT,55427,1250
KOTAKBANK24JANFUT,55428,400
L&TFH24JANFUT,55429,4462
LALPATHLAB24JANFUT,55430,300
LAURUSLABS24JANFUT,55431,1700
LICHSGFIN24JANFUT,55432,2000
LT24JANFUT,55433,300
LTIM24JANFUT,55434,150
LTTS24JANFUT,55435,200
LUPIN24JANFUT,55436,850
M&M24JANFUT,55437,350
M&MFIN24JANFUT,55438,2000
MANAPPURAM24JANFUT,55439,6000
MARICO24JANFUT,55440,1200
MARUTI24JANFUT,55441,50
MCDOWELL-N24JANFUT,55442,700
MCX24JANFUT,55443,400
METROPOLIS24JANFUT,55444,400
MFSL24JANFUT,55445,800
MGL24JANFUT,55446,800
MOTHERSON24JANFUT,55448,7100
MPHASIS24JANFUT,55449,275
MRF24JANFUT,55450,5
MUTHOOTFIN24JANFUT,55451,550
NATIONALUM24JANFUT,55452,7500
NAUKRI24JANFUT,55454,150
NAVINFLUOR24JANFUT,55457,150
NESTLEIND24JANFUT,55458,40
NMDC24JANFUT,55459,4500
NTPC24JANFUT,55460,3000
OBEROIRLTY24JANFUT,55461,700
OFSS24JANFUT,55462,200
ONGC24JANFUT,55463,3850
PAGEIND24JANFUT,55464,15
PEL24JANFUT,55465,750
PERSISTENT24JANFUT,55467,100
PETRONET24JANFUT,55468,3000
PFC24JANFUT,55469,3875
PIDILITIND24JANFUT,55470,250
PIIND24JANFUT,55471,250
PNB24JANFUT,55472,8000
POLYCAB24JANFUT,55473,100
POWERGRID24JANFUT,55474,3600
PVRINOX24JANFUT,55476,407
RAMCOCEM24JANFUT,55477,850
RBLBANK24JANFUT,55478,2500
RECLTD24JANFUT,55479,2000
RELIANCE24JANFUT,55480,250
SAIL24JANFUT,55481,8000
SBICARD24JANFUT,55482,800
SBILIFE24JANFUT,55483,750
SBIN24JANFUT,55486,1500
SHREECEM24JANFUT,55487,25
SHRIRAMFIN24JANFUT,55488,300
SIEMENS24JANFUT,55489,150
SRF24JANFUT,55490,375
SUNPHARMA24JANFUT,55493,700
SUNTV24JANFUT,55494,1500
SYNGENE24JANFUT,55495,1000
TATACHEM24JANFUT,55496,550
TATACOMM24JANFUT,55497,500
TATACONSUM24JANFUT,55498,900
TATAMOTORS24JANFUT,55499,1425
TATAPOWER24JANFUT,55500,3375
TATASTEEL24JANFUT,55503,5500
TCS24JANFUT,55504,175
TECHM24JANFUT,55505,600
TITAN24JANFUT,55506,175
TORNTPHARM24JANFUT,55508,500
TRENT24JANFUT,55510,400
TVSMOTOR24JANFUT,55511,350
UBL24JANFUT,55512,400
ULTRACEMCO24JANFUT,55513,100
UPL24JANFUT,55514,1300
VEDL24JANFUT,55515,2300
VOLTAS24JANFUT,55516,600
WIPRO24JANFUT,55519,1500
ZEEL24JANFUT,55520,3000
ZYDUSLIFE24JANFUT,55521,900
ZYDUSLIFE23DECFUT,63809,
