Symbol,ClosingPrice,Company Name
55325,2955.5,ADANIENT24JANFUT
55330,459.8,APOLLOTYRE24JANFUT
55331,181.7,ASHOKLEY24JANFUT
55322,171.7,ABCAPITAL24JANFUT
55326,1084.2,ADANIPORTS24JANFUT
55327,5181.7,ALKEM24JANFUT
55334,7213.3,ATUL24JANFUT
55324,2283.6,ACC24JANFUT
55352,22497.85,BOSCHLTD24JANFUT
55321,23511.25,ABBOTINDIA24JANFUT
55323,244.15,ABFRL24JANFUT
55320,4728.95,ABB24JANFUT
55337,1097.75,AXISBANK24JANFUT
55319,660.55,AARTIIND24JANFUT
55361,395.15,COALINDIA24JANFUT
55365,1239.75,COROMANDEL24JANFUT
55342,407,BALRAMCHIN24JANFUT
55362,6070.7,COFORGE24JANFUT
55364,883.35,CONCOR24JANFUT
55380,152.95,FEDERALBNK24JANFUT
55328,533.95,AMBUJACEM24JANFUT
55357,770.6,CANFINHOME24JANFUT
55329,5781.35,APOLLOHOSP24JANFUT
55332,3406.15,ASIANPAINT24JANFUT
55377,3903.5,EICHERMOT24JANFUT
55389,502.25,GUJGASLTD24JANFUT
55358,383.1,CHAMBLFERT24JANFUT
55393,3266.65,HDFCAMC24JANFUT
55363,2504.35,COLPAL24JANFUT
55391,1387.05,HAVELLS24JANFUT
55355,692,BSOFT24JANFUT
55350,203.45,BHEL24JANFUT
55373,4053,DIVISLAB24JANFUT
55347,607.35,BERGEPAINT24JANFUT
55408,86.45,IDFCFIRSTB24JANFUT
55414,262.85,INDIACEM24JANFUT
55395,649.7,HDFCLIFE24JANFUT
55333,1911.7,ASTRAL24JANFUT
55372,157.6,DELTACORP24JANFUT
55401,988.9,ICICIBANK24JANFUT
55381,165,GAIL24JANFUT
55338,6691.55,BAJAJ-AUTO24JANFUT
55356,447.2,CANBK24JANFUT
55366,312.85,CROMPTON24JANFUT
55349,1027.05,BHARTIARTL24JANFUT
55385,1164.15,GODREJCP24JANFUT
55375,718.05,DLF24JANFUT
55343,244.05,BANDHANBNK24JANFUT
55354,5301.95,BRITANNIA24JANFUT
